Codigo,CodCompra,RubroC,Item,Stock,Precio,PrecioCba,Marca,Precio5
1929,3268,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,"ESPATULA MANGO PLASTICO WEMBLEY DE .2""",105,232,121.97,Publish,163
1931,3270,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,"ESPATULA MANGO PLASTICO WEMBLEY DE .3""",144,255,139.57,Publish,186
1932,3272,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,"ESPATULA MANGO PLASTICO WEMBLEY DE .4""",158,280,158.24,Publish,211
1979,3273,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,"ESPATULA MANGO PLASTICO WEMBLEY DE .5""",132,306,177.99,Publish,237
1975,3274,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,"ESPATULA MANGO PLASTICO WEMBLEY DE .6""",65,328,194.52,Publish,259
6034,77396045,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,ESPATULA METALICA FLEXIBLE .4 CM M/PLA. TRAMONTINA,84,253,137.94,Publish,184
6035,77396065,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,ESPATULA METALICA FLEXIBLE .6 CM M/PLA. TRAMONTINA,76,263,145.81,Publish,194
6036,77396085,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,ESPATULA METALICA FLEXIBLE .8 CM M/PLA. TRAMONTINA,89,284,161.57,Publish,215
6037,77396105,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,ESPATULA METALICA FLEXIBLE 10 CM M/PLA. TRAMONTINA,108,300,173.4,Publish,231
6038,77396125,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,ESPATULA METALICA FLEXIBLE 12 CM M/PLA. TRAMONTINA,101,321,189.16,Publish,252
6029,77394045,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,ESPATULA METALICA RÍGIDA .4 CM M/MAD. TRAMONTINA,76,389,240.39,Publish,320
6030,77394065,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,ESPATULA METALICA RÍGIDA .6 CM M/MAD. TRAMONTINA,0,400,248.27,Publish,331
6031,77394085,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,ESPATULA METALICA RÍGIDA .8 CM M/MAD. TRAMONTINA,9,426,267.98,Publish,357
6032,77394105,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,"ESPATULA METALICA RÍGIDA 10 CM, M/MAD. TRAMONTINA",32,457,291.63,Publish,388
6033,77394125,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,"ESPATULA METALICA RÍGIDA 12 CM, M/MAD. TRAMONTINA",33,489,315.26,Publish,420
951,13263,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,"ESPATULA P/YESERO DE 10"" DE METAL",13,412,257.58,Publish,343
2040,51523,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,ESPATULA P/YESERO DE 15CM X 23CM PLASTICA,69,178,81.74,Publish,109
2029,50100,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,ESPATULA PLASTICA 10 CM,117,111,31.27,Publish,42
2030,50125,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,"ESPATULA PLASTICA 12,5 CM",55,127,43.39,Publish,58
2031,50150,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,ESPATULA PLASTICA 15 CM,55,130,45.69,Publish,61
3523,EVOL2100,HERRAMIENTAS>VARIOS>>,EXTRACTOR DE TORNILLOS BLISTER X 5 UNID.,59,579,424.5,Publish,510
2930,2423,HERRAMIENTAS>DE MEDICION>ESCUADRAS>,"FALSA ESCUADRA 10""",20,754,515.01,Publish,685
1182,8357,HERRAMIENTAS>DE CARPINTERIA>FORMONES>,FORMON X 4 PARA MADERA,6,1312,934.16,Publish,1243
4783,4783,HERRAMIENTAS>DE CONSTRUCCION>FRATACHOS>MADERA,FRATACHO DE EUCA ROSTRATA 25CM (EX ALGARROBO),25,686,463.64,Publish,617
4784,4784,HERRAMIENTAS>DE CONSTRUCCION>FRATACHOS>MADERA,FRATACHO DE EUCA ROSTRATA 30CM (EX ALGARROBO),0,638,427.59,Publish,569
4785,4785,HERRAMIENTAS>DE CONSTRUCCION>FRATACHOS>MADERA,FRATACHO DE EUCA ROSTRATA 35CM (EX ALGARROBO),0,708,480.11,Publish,639
4786,4786,HERRAMIENTAS>DE CONSTRUCCION>FRATACHOS>MADERA,FRATACHO DE EUCA ROSTRATA 40CM (EX ALGARROBO),24,768,525.45,Publish,699
2695,FRA-051,HERRAMIENTAS>DE CONSTRUCCION>FRATACHOS>MADERA,FRATACHO DE MADERA DE PINO 25CM.,3,160,67.98,Draft,91
3002,FRA-052,HERRAMIENTAS>DE CONSTRUCCION>FRATACHOS>MADERA,FRATACHO DE MADERA DE PINO 30CM,18,170,75.74,Draft,101
2704,FRA-053,HERRAMIENTAS>DE CONSTRUCCION>FRATACHOS>MADERA,FRATACHO DE MADERA DE PINO 35CM.,6,256,140.26,Draft,187
28,FRA-054,HERRAMIENTAS>DE CONSTRUCCION>FRATACHOS>MADERA,FRATACHO DE MADERA DE PINO 40CM.,0,476,305.28,Draft,407
229,745,HERRAMIENTAS>DE CONSTRUCCION>FRATACHOS>PLASTICO,FRATACHO P/GRUESO REFORZADO 12X30,66,330,196,Publish,261
227,ART. 0743,HERRAMIENTAS>DE CONSTRUCCION>FRATACHOS>PLASTICO,FRATACHO PLASTICO 12 X 20 CM G/ ESPUMA,275,285,161.98,Publish,216
228,ART. 0744,HERRAMIENTAS>DE CONSTRUCCION>FRATACHOS>PLASTICO,FRATACHO PLASTICO 12 X 25 CM G/ ESPUMA,35,298,171.93,Publish,229
2034,2034,HERRAMIENTAS>>>,FRATACHO PLASTICO 12 X 30 CM G/ ESPUMA FAP30,0,23504,17620.29,Draft,23435
